company_or_product_name,description_of_product,deal_status,investing_dragon(s),episode,category,entrepreneurs(s),location,website,money_requested,stake_in_%_sold,valuation,season
Drain Strain,"a sink stopper that keeps drains free from hair clogs . Tired of clogged drains? Drain Strain, the Never Clog Drain System is the solution to this annoying and costly problem. With Drain Strain, say good bye to high cost plumber calls and environmentally harmful chemicals for pouring use down your drain. Drain Strain is also preventative in terms of losing valuables such as jewelry and contacts. Drain Strain is easy to install and uninstall too! Just â€œTurn, Lift & Clickâ€.",True,Others,17,Storage and Cleaning Products,Naushad Ali,MO,http://www.drainstrain.com,110000,15,733333,6
Fresh Patch,"a delivery service for patches of live grass for pet owners without yards . Fresh Patch is real grass and the perfect training solution for your new puppy. Alternative to the traditional pee pad, Fresh Patch uses natural grass, grabbing you petâ€™s instinctive attention. Fresh Patch is full disposable, requiring no emptying, cleaning or disinfecting. Since itâ€™s real grass here, it naturally absorbs urine and controls odors. Itâ€™s also very convenient, eco-friendly and very much affordable. Get your Fresh Patch today!",True,Others,17,Pet Products,Andrew Feld,FL,https://www.freshpatch.com,150000,10,1500000,6
FunBites,"plastic devices for cutting food into fun shapes for children who are picky eaters . Are your kids picky when it comes to eating healthy food or any food in generalÂ you know they would like if they just tried it? Funbites gives you a fighting chance! Funbites food cutter turns normal food into bite-sized fun shaped your children can enjoy. Coming in a variety of cool shapes and colors, Funbites is strong, durable and made in the USA. They are perfect for pancakes, deli meat, grilled cheese, quesadillas, burgers and more!",True,Lori Greiner,18,Baby and Child Care,Bobbie Rhoads,NY,http://funbites.com,75000,20,375000,6
Hoppy Paws,"stamp kits for simulating tracks left by holiday characters such as Santa's reindeer or the Easter Bunny . Create a new family tradition this Christmas and surprise your children with proof of a visit from Santa with Hoppy Paws stamp kit. Hoppy Paws â€œSantaâ€™s Reindeer Hoof Print Stamp Kitâ€ includes a stamp kit, mixing tray and a secret powderÂ to create a life sized, realistic Santaâ€™s reindeer hoof print. Hoppy Paws will also offer more of a library next year with Santaâ€™s Elf, the Easter Bunny, the Tooth Fairy and more!",True,Barbara Corcoran,12,Holiday Cheer,Trina Barkouras,CA,http://hoppypaws.com,50000,10,500000,6
Q-Flex,"a personal acupressure device . Â Suffer from body soreness? Wife wonâ€™t give you a massage? A self acupressure massage device, the Q-Flex is designed to relieve common stress and tension by simply applying pressure to specific points of your body. It isÂ light in weight, durable and so easy anyone can use it. The Q Flex AcupressureÂ is made from high quality polycarbonate material which lets the device bend just enough without breaking.",True,Barbara Corcoran,12,Health and Well-Being,Andrea and Hong Cao,CA,http://getqflex.com,20000,20,100000,6
Gameday Couture,"fashionable sports team wear for women . Lady alumni, love sports but hateÂ the clothing? Well, the answer to your ugly jersey wearing woes has arrived. Gameday Couture has created aÂ fashion lineÂ of collegiate gameday apparel designed specificallyÂ for women. With over 35 university licenses available, finally you can proudly represent your team in style!",True,Marc Cuban,11,Men and Women's Apparel,Shawna and Kurt Feddersen,OK,http://www.gameday-couture.com,500000,20,2500000,6
Zipz,"a proprietary container and brand for a single serving of wine, similar to Copa di Vino but in a resealable glass . Zipz Wine is the industryâ€™s answer to portable single serving wine that aluminum cans were for the soda industry.Â Its container is extremely durable with a high quality plastic vessel that looks identical to glassware. Zipz also has a patented CleanWrap technology that preserves the freshness and shelf life of this revolutionary wine product.",True,Kevin O'Leary,11,Alcoholic Beverages,Andrew McMurray,CA,http://www.zipzwine.com,2500000,10,25000000,6
Earth Log,"an environmentally friendly recycled firelog . an organic, cleaner-burning firelog with better odors",True,Lori Greiner,10,Home Accessories,Tom Sanetti,CA,http://www.earthlog.com/,160000,20,800000,6
Kitchen Safe,"a container with a timer-lock closure to keep tempting food or items out of reach . Say hello to Kitchen Safe, the time locking container. Toted as a tool to build good habits and self discipline, the Kitchen Safe is intended to do more than just lock away the cookies from little Johnny until after dinner. Get creative with the TV remote and Xbox controller too. Man am I glad this wasnâ€™t invented during the 90s.",True,Lori Greiner,10,Storage and Cleaning Products,David Krippendorf and Ryan Tseng,CA,http://www.thekitchensafe.com/,100000,5,2000000,6
Bantam Bagels,"mini bagel balls filled with varieties of cream cheese . Bagel lovers UNITE! Bantam Bagels are compact ball shaped bagels pre-filled with artisan cream cheese. With 15 flavors ranging from your traditional â€œEverythingâ€ to â€œCookies and Milkâ€, these mini New York bagels are crispy, chewy and convenient. Perfect morning snack for when you are on the go and do not want to deal with the messy process of applying the cream cheese yourself. You are all in for a treat.",True,Lori Greiner,13,Specialty Food,Nick and Elyse Oleksak,NY,http://www.bantambagels.com,275000,11,2500000,6
Doorman,"a service that re-delivers packages ordered online during hours convenient to the customer . Never miss a package delivery ever again!  allows you toÂ schedule deliveries as late as midnight, 7 days a week! Perfect it you work late or do not want to be strapped to the inconvenient traditional delivery times. Try your first package for free with the ",True,Robert Herjavec,13,Consumer Services,Zander Adell,CA,http://www.doorman.co,25000,10,250000,6
Heidi Ho,"a dairy-free line of plant-based cheese spreads . If you are on a dairy-free diet and miss being able to eat cheese, Heidi Ho offers a dairy-free line of plant-based cheese spreads.  Heidi Ho products are dairy and gluten free, & many of them are also soy free. The cheese is made from organic nuts, seeds, vegetables, and herbs and spices.",True,Lori Greiner,9,Specialty Food,Heidi K. Lovig,OR,http://www.heidiho.com/,125000,20,625000,6
Pipsnacks,"a line of organic mini-popcorn snacks . Love the branding and packaging with this product. All natural, gluten free and selected as Oprahâ€™s â€œfavorite thingâ€ in 2012, Pipcorn is a delicious alternative to popcorn. The snack is non-GMO, vegan friendly and whole grain. Best of all? It does not get stuck in your teeth! Pipcorn is available in Truffle, Sea Salt, Kettle and Rosemary flavors.",True,Barbara Corcoran,9,Specialty Food,Jeff and Jennifer Martin,NY,http://www.pipsnacks.com/,200000,10,2000000,6
Squatty Potty,"a footstool that puts the user of a western toilet in a squatting position for more natural, healthier bowel movements . Apparently, weâ€™ve been going to the bathroom all wrong! As ridiculous as it sounds, bad toilet posture negatively affects your health (consitipation, hemorroids, bloating, IBS, etc.). Use the toilet right with Squatty Potty for fast and easy elimination. Ecco and Tao Bamboo are available in both 7â€³ and 9â€³ sizes.",True,Lori Greiner,9,Health and Well-Being,Bobby and Judy Edwards,UT,http://squattypotty.com/,350000,5,7000000,6
Myself Belts,a velcro belt specially designed for young children . a velcro belt specially designed for young children,True,Daymond John,7,Baby and Children's Apparel and Accessories,Talia Goldfarb,MO,http://www.myselfbelts.com,60000,10,600000,6
Bottle Breacher,"beer bottle openers made from 50 caliber bullets . Do you or someone you know have issues opening bottles with style? Bottle Breachers can help fix that with their handcrafted 50 caliber bottle openers. Not only do they look cool on their own, but they can look even better with some personalized engraving.",True,Kevin O'Leary+Marc Cuban,8,Novelties,Jen and Eli Crane,AZ,https://www.bottlebreacher.com/,150000,10,1500000,6
The Natural Grip,a hand grip designed to help the user better handle fitness equipment . Natural Grips were designed to protect your palms from rips when lifting weights and crossfit training. The grips are made from a 100% zinc oxide cotton tape and are available in a variety of sizes and colors. a hand grip designed to help the user better handle fitness equipment,True,Robert Herjavec,8,Fitness Apparel and Accessories,Ashley Drake,KY,http://www.thenaturalgrip.com,100000,20,500000,6
Scratch & Grain Baking Co.,"kits with premeasured natural ingredients for making homemade cookies . Started by an unfortunate baking experience involving a mom, her kids and cookies that tasted like cardboard, Scratch & Grain Baking Company offers baking kits for amazingly delicious treats.  contain all-natural and GMO-Free ingredients. Most of these ingredients are certified organic and kids wonâ€™t even taste the difference because they are that good. Some of the Scratch and Grain baking kit flavors include Chocolate Chip, Classic Sugar, Oatmeal Raisin, Snicker Doodle, Chocolate Truffle and Chewy Peanut Butter!",True,Barbara Corcoran,14,Specialty Food,Leah Tutin and Taya Geiger,OR,http://www.scratchandgrain.com,150000,20,750000,6
Paper Box Pilots,"decorative stickers to make cardboard boxes look like vehicles . It really it true that all kids can have fun with a cardboard box. The possibilities are endless. Paper Box Pilots expands on this ideaÂ with their cardboard kits (includes box, stickers, guide and plans) that build out to look like a realÂ airplane, firetruck and race car. Your kids will love it.",True,Kevin O'Leary,4,Toys and Games,,UT,http://www.paperboxpilots.com,35000,25,140000,6
Reviver,"freshening wipes for masking odors on clothing . Reviver offers freshening wipes for masking odors on clothing from the likes of smoking, that morning workout, and lunch at the Fish House. These wipes are for your clothes what gum is for your breath. Reviver also has wipes available for household pets that donâ€™t take too kindly to bath time.",True,Lori Greiner,4,Personal Care and Cosmetics,Ben and Eric Kusin,TX,http://www.reviver.com,150000,5,3000000,6
The Red Dress Boutique,"an online mail-order service for afforable, fashionable outfits . an online mail-order service for afforable, fashionable outfits",True,Marc Cuban+Robert Herjavec,5,Women's Apparel,Josh and Diana Harbour,GA,http://thereddressboutique.com/,600000,5,12000000,6
BeatBox Beverages,"an innovative brand of box wine . Beatbox is an innovative, vibrant wine based cocktail compacted into a nifty old school boom box looking thing. Made with orange wine,Â each BeatBox contains over 7 bottles worth of mixed drink. It comes in Blue Razzberry Lemonade, Crandberry Limeade, Box Aâ€™Rita and Texas Sweet Tea flavors. Letâ€™s get this party started.",True,Marc Cuban,6,Alcoholic Beverages,"Brad Schultz, Aimy Steadman, and Justin Fenchel",TX,http://www.beatboxbeverages.com/,200000,10,2000000,6
Honeyfund,a crowdfunding service that allows wedding guests to donate money toward the honeymoon trip rather than purchase traditional gifts . a crowdfunding service that allows wedding guests to donate money toward the honeymoon trip rather than purchase traditional gifts,True,Kevin O'Leary,6,Weddings,Sara and Josh Margulis,CA,http://www.honeyfund.com/,400000,10,4000000,6
Heart Pup,"a wearable sling for carrying a dog . Heart Pup is a fashionable, convenient and wearable scarf sling made from Italian cashmere wool. The dog sling comes with ergonomic wide knit fabric straps on both shoulders and holds your pet handsfree up to 26 pounds. With a Heart Pup dog carrier, take your best animal friend out and about with you where ever you go.",True,Daymond John,3,Pet Products,Anastasia Heart,CA,http://www.heartpup.com/,25000,10,250000,6
Roominate,"a construction set toy . Roominate is a brain stimulating, award winning toy perfect for aspiring young kids who love to learn and have fun. ItÂ is affiliated with STEM, touching on critical thinking within the Science, Tech, Engineering and Math fields. Roominate is toted as an open-ended version of LEGOs.",True,Lori Greiner+Marc Cuban,2,Toys and Games,,CA,http://www.roominatetoy.com,500000,5,10000000,6
Bombas,"quality athletic socks . Bombas are really REALLY comfortable and quite possibly the only socks youâ€™ll ever want to wear for the rest of your life. BombasÂ are offered in ankle and calf form and they come in different sizes. There is an assortment of colors and they are available for Men, Women and Kids.",True,Daymond John,1,Undergarments and Basics,,NY,http://www.bombas.com,200000,5,4000000,6
Sleeping Baby,"sleepwear for newborns that imitates the protection of the womb so they don't wake as easily . Any parent who has been through the rounds of raising a newborn knows how important swaddling a baby is. Swaddling isÂ the art of snugly wrapping a baby in a blanket for warmth and security, imitating their environment in the womb. Sleeping Baby is fantastic because itâ€™s swaddle-like, easy and wearable ready to go sleepwear.",True,Daymond John,1,Baby and Child Care,,TX,http://www.sleepingbaby.com,200000,10,2000000,6
Foot Fairy,an iPad app which measures your child's foot size . an iPad app which measures your childâ€™s foot size,True,Marc Cuban,29,Online Services,Dr. Sylvie Shapiro and Nicole Brooks,CA,http://www.footfairy.com,75000,15,500000,5
Bon Affair,a premium wine spritzer . a premium wine spritzer,True,Marc Cuban,28,Alcoholic Beverages,Jayla Siciliano,CA,http://www.bonaffair.com,150000,35,428571,5
Cinnaholic,custom gourmet cinnamon rolls . custom gourmet cinnamon rolls,True,Others,28,Specialty Food,Shannon Michelle Radke and Florian Radke,CA,http://www.cinnaholic.com,200000,20,1000000,5
Oru Kayak,"a kayak that can be folded into a compact suitcase . This is not just any ordinary Kayak. Itâ€™s a foldable, portable Kayak that performs with the best of â€˜em. All you need is 5 minutes to take it from backpackÂ to a boat. Aside from its convenience, itâ€™s highly durable as well. The Oru is offered in two models. The Bay and the premium Bay+.",True,Robert Herjavec,28,Outdoor Recreation,Anton Willis,CA,http://www.orukayak.com,500000,12,4166667,5
Angellift,facial lifting strips . facial lifting strips,True,Lori Greiner,27,Personal Care and Cosmetics,,CA,http://www.angellift.com,500000,10,5000000,5
HangEase,a folding plastic clothes hanger . a folding plastic clothes hanger,True,Others,27,Storage and Cleaning Products,,TX,http://www.hangease.com,80000,30,266667,5
Cerebral Success,"a brain supplement designed to enhance focus, memory, and mental energy . a brain supplement designed to enhance focus, memory, and mental energy",True,Barbara Corcoran,26,Homeopathic Remedies,,UT,http://cerebralsuccess.com,75000,20,375000,5
iLumi,"a versatile home lighting system controlled from a smartphone . Toted as the worldâ€™s smartest lights, iLumi is pre-programmed LED lighting that can be screwed into any existing fixture and wirelessly controlled by phone app. iLumi allows you to really set the mood and customize the lighting for every setting type. Great features are its simulated sunrise and ability to sync to the beat of any music.",True,Others,25,Electronics,Swapnil Bora and Corey Egan,TX,http://www.ilumi.co,350000,15,2333333,5
ZooBean,a subscription service for children's books . subscription service for childrenâ€™s books,True,Marc Cuban,25,Baby and Children's Entertainment,,DC,https://www.zoobean.com,250000,15,1666667,5
Happy Feet,"fanciful slippers . If you are a slippers in the home kind of person, Happy Feet areÂ right up your alley. With superior quality and uniquelyÂ plumpÂ by design, Happy Feet slippers are ULTRA comfortable fuzzy slippers for both him and her. They are available in the Original Happy Feet design, Animal Characters, Holiday Themed Animals and your favorite sports teams. Aside from looking damn comfortable, these fat slippers keep your feet warn.",True,Robert Herjavec,23,Novelties,Pat Yates,KY,http://www.buyhappyfeet.com,375000,15,2500000,5
Hold Your Haunches,leggings with a built-in shaper . leggings with a built-in shaper,True,Barbara Corcoran+Lori Greiner,23,Undergarments and Basics,Erin Bickley and Jenny Greer,GA,http://holdyourhaunches.com,75000,20,375000,5
Velocity Signs,robotic sign waving machines . robotic sign waving machines,True,Kevin O'Leary+Marc Cuban+Robert Herjavec,23,Novelties,Scott Adams and Josh Faherty,CA,,225000,15,1500000,5
Monkey Mat,a portable fabric floor covering . a portable fabric floor covering,True,Lori Greiner+Marc Cuban,22,Baby and Child Care,,TX,http://monkeymat.com,100000,30,333333,5
Plated,a service that delivers pre-measured ingredients for various recipes to your door . a service that delivers pre-measured ingredients for various recipes to your door,True,Marc Cuban,22,Specialty Food,,NY,https://www.plated.com,500000,4,12500000,5
The Paint Brush Cover,a device that prevents paintbrushes from drying out . a device that prevents paintbrushes from drying out,True,Lori Greiner,22,Home Improvement,,NJ,http://www.thepaintbrushcover.com,50000,10,500000,5
Chapul,energy bars made with cricket proteins . energy bar made of cricket proteins,True,Marc Cuban,21,Specialty Food,Pat Crowley,UT,http://chapul.com,50000,5,1000000,5
Garage Door Lock,a locking system for garage doors . garage door locking system,True,Daymond John,21,Home Security Solutions,,CA,http://elocksys.com,275000,30,916667,5
Boo Boo Goo,"a colored, waterproof liquid bandage . a colored, waterproof liquid bandage",True,Kevin O'Leary,20,Baby and Child Care,,CA,http://booboogoo.com,100000,18,571429,5
Henry's Humdingers,spicy flavored honeys . spicy flavored honeys,True,Marc Cuban+Robert Herjavec,20,Specialty Food,,WA,http://www.henryshumdingers.com,150000,25,600000,5
iReTron,an electronics recycling service . electronics recycling service,True,Barbara Corcoran+Marc Cuban,20,Consumer Services,,CA,https://www.iretron.com,100000,20,500000,5
U-Lace,interchangeable mix and match shoelaces for easily changing the look and style of sneakers . interchangable mix and match shoelaces for easily changing the look and style of sneakers,True,Marc Cuban,19,Baby and Children's Apparel and Accessories,,NY,http://www.u-lace.com,200000,25,800000,5
Bambooee,bamboo paper towels that are washable and reusable . bamboo paper towels that are washable and reusable,True,Lori Greiner,18,Storage and Cleaning Products,,CA,http://www.bambooee.com,200000,10,2000000,5
Southern Culture Artisan Foods,specialty pancake and waffle mixes . specialty pancake and waffle mixes,True,Barbara Corcoran,17,Specialty Food,Erica Barrett,GA,http://southernculturefoods.com,100000,25,400000,5
Spy Escape and Evasion,a spy school via seminar classes that teach defense tactics . a spy school via seminar classes that teach defense tactics,True,Daymond John,17,Professional Services,Jason Hanson,UT,http://spyescapeandevasion.com,100000,15,666667,5
Cycloramic,an app that takes 360-degree pictures by making the phone spin itself around . app that takes 360-degree pictures by making an iPhone spin itself around,True,Lori Greiner+Marc Cuban,16,Mobile Apps,,GA,http://cycloramic.com,90000,5,1800000,5
The Cookie Dough Cafe,cookie dough in a jar that is designed to be eaten raw . cookie dough in a jar that is designed to be eaten raw,True,Lori Greiner,16,Specialty Food,,IL,http://www.thecookiedoughcafe.com,50000,20,250000,5
Freshly Picked,moccasins for babies . moccasins for babies,True,Daymond John,15,Baby and Children's Apparel and Accessories,Susan Petersen,UT,http://freshlypicked.com,150000,10,1500000,5
SwimZip,children's swimwear with UV sun protection . childrenâ€™s swimwear with UV sun protection,True,Lori Greiner,15,Baby and Child Care,Betsy Johnson (Wanless),KS,http://www.swimzip.com,60000,5,1200000,5
Tipsy Elves,"a line of holiday clothing . Want to win the nicest ugly sweater contest? Tipsy Elves has created a line of clothing themed around the Christmas holiday and it is awesome.Â These are ugly Christmas sweaters on steroids. Tipsy Elves also has themed dresses, cardigans, pajamas and college alumni sweaters. Products available for Women, Men and Kids.",True,Robert Herjavec,12,Holiday Cheer,,CA,http://www.tipsyelves.com,100000,5,2000000,5
PurseCase,a mini purse cell phone case that carries your smartphone and a few essentials . mini purse cell phone case that carries your smartphone and a few essentials,True,Lori Greiner,10,Women's Accessories,Kelley Coughlan and Jenn Deese,CA,http://pursecase.com,55000,12,458333,5
Yubo,personalized lunchboxes that are easy to clean . personalized lunchboxes that are easy to clean,True,Kevin O'Leary+Robert Herjavec,10,Toys and Games,"Cyndi Pedrazzi, Paul Pedrazzi, and Dan Harden",CA,http://www.getyubo.com,150000,15,1000000,5
Paparazzi Proposals,a paparazzi-style photography business that captures your proposal without being seen . rent-a-paparazzi photography business that captures your proposal without being seen,True,Others,8,Weddings,,NY,http://www.paparazzi-proposals.com,250000,20,1250000,5
Better Life,100% natural cleaning products . 100% natural cleaning products,True,Lori Greiner,7,Storage and Cleaning Products,Tim Barklage and Kevin Tibbs,MO,http://www.cleanhappens.com,400000,7,5714286,5
